episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
0,1.074646234512329,26,-1.0,1.074646234512329,26,1.0,0.0,1.0
1,2.962798595428467,71,1.0,2.962798595428467,71,-1.0,1.0,0.0
2,1.0574839115142822,30,-1.0,1.0574839115142822,30,1.0,0.0,1.0
3,1.705700159072876,51,1.0,1.705700159072876,51,-1.0,1.0,1.0
4,1.7514088153839111,53,1.0,1.7514088153839111,53,-1.0,1.0,1.0
5,1.1106114387512207,33,1.0,1.1106114387512207,33,-1.0,1.0,0.0
6,2.333313226699829,70,1.0,2.333313226699829,70,-1.0,2.0,1.0
7,1.0920884609222412,33,-1.0,1.0920884609222412,33,1.0,0.0,1.0
8,2.6401939392089844,79,-1.0,2.6401939392089844,79,1.0,1.0,1.0
9,1.755321741104126,53,1.0,1.755321741104126,53,-1.0,1.0,1.0
10,0.4116523265838623,12,-1.0,0.4116523265838623,12,1.0,0.0,0.0
11,0.390566349029541,12,-1.0,0.390566349029541,12,1.0,0.0,0.0
12,1.7714357376098633,53,1.0,1.7714357376098633,53,-1.0,1.0,1.0
13,2.7886803150177,84,-1.0,2.7886803150177,84,1.0,1.0,1.0
14,1.7733240127563477,53,1.0,1.7733240127563477,53,-1.0,1.0,1.0
15,1.7723419666290283,53,1.0,1.7723419666290283,53,-1.0,1.0,1.0
16,1.7556700706481934,53,-1.0,1.7556700706481934,53,1.0,1.0,1.0
17,1.769303798675537,53,1.0,1.769303798675537,53,-1.0,1.0,1.0
18,1.7697710990905762,53,1.0,1.7697710990905762,53,-1.0,1.0,1.0
19,1.089714527130127,33,1.0,1.089714527130127,33,-1.0,1.0,0.0
20,1.7737157344818115,53,1.0,1.7737157344818115,53,-1.0,1.0,1.0
21,1.0893588066101074,33,-1.0,1.0893588066101074,33,1.0,0.0,1.0
22,0.4086167812347412,10,1.0,0.4086167812347412,10,-1.0,0.0,0.0
23,1.0759670734405518,26,1.0,1.0759670734405518,26,-1.0,1.0,0.0
24,2.950383424758911,71,1.0,2.950383424758911,71,-1.0,1.0,0.0
25,1.0915231704711914,26,1.0,1.0915231704711914,26,-1.0,1.0,0.0
26,1.0828592777252197,26,1.0,1.0828592777252197,26,-1.0,1.0,0.0
27,1.061161756515503,26,-1.0,1.061161756515503,26,1.0,0.0,1.0
28,2.9462740421295166,71,1.0,2.9462740421295166,71,-1.0,1.0,0.0
29,1.757126808166504,42,1.0,1.7581217288970947,42,-1.0,1.0,1.0
30,1.0900318622589111,26,1.0,1.0900318622589111,26,-1.0,1.0,0.0
31,1.7392020225524902,42,1.0,1.7392020225524902,42,-1.0,1.0,1.0
32,0.37442731857299805,9,1.0,0.37442731857299805,9,-1.0,0.0,0.0
33,1.0711491107940674,26,1.0,1.0711491107940674,26,-1.0,1.0,0.0
34,1.8053178787231445,43,-1.0,1.8053178787231445,43,1.0,1.0,1.0
35,1.089003562927246,26,1.0,1.089003562927246,26,-1.0,1.0,0.0
36,1.0751984119415283,26,1.0,1.0751984119415283,26,-1.0,1.0,0.0
37,1.0882577896118164,26,1.0,1.0882577896118164,26,-1.0,1.0,0.0
38,1.0719377994537354,26,1.0,1.0719377994537354,26,-1.0,1.0,0.0
39,1.0901634693145752,26,-1.0,1.0901634693145752,26,1.0,0.0,1.0
40,2.947916030883789,71,1.0,2.947916030883789,71,-1.0,1.0,0.0
41,1.0806329250335693,26,-1.0,1.0806329250335693,26,1.0,0.0,1.0
42,1.0930256843566895,26,-1.0,1.0930256843566895,26,1.0,0.0,1.0
43,1.792677879333496,43,1.0,1.792677879333496,43,-1.0,1.0,1.0
44,1.0726919174194336,26,-1.0,1.0726919174194336,26,1.0,0.0,1.0
45,1.0963623523712158,26,1.0,1.0963623523712158,26,-1.0,1.0,0.0
46,1.0720207691192627,26,1.0,1.0720207691192627,26,-1.0,1.0,0.0
47,1.0911755561828613,26,1.0,1.0911755561828613,26,-1.0,1.0,0.0
48,1.072483777999878,26,1.0,1.072483777999878,26,-1.0,1.0,0.0
49,1.090169906616211,26,-1.0,1.090169906616211,26,1.0,0.0,1.0
50,1.0889997482299805,26,1.0,1.0889997482299805,26,-1.0,1.0,0.0
51,1.0715148448944092,26,-1.0,1.0715148448944092,26,1.0,0.0,1.0
52,1.091186761856079,26,-1.0,1.091186761856079,26,1.0,0.0,1.0
53,1.0939898490905762,27,1.0,1.0939898490905762,27,-1.0,1.0,0.0
54,1.0903723239898682,26,-1.0,1.0903723239898682,26,1.0,0.0,1.0
55,1.752098560333252,42,1.0,1.752098560333252,42,-1.0,1.0,1.0
56,0.40976810455322266,10,-1.0,0.40976810455322266,10,1.0,0.0,0.0
57,2.9483797550201416,71,1.0,2.9483797550201416,71,-1.0,1.0,0.0
58,1.088728427886963,26,-1.0,1.088728427886963,26,1.0,0.0,1.0
59,1.0733084678649902,26,-1.0,1.0733084678649902,26,1.0,0.0,1.0
60,5.342918634414673,128,-1.0,5.342918634414673,128,1.0,1.0,1.0
61,1.0725922584533691,26,1.0,1.0725922584533691,26,-1.0,1.0,0.0
62,1.7553350925445557,42,1.0,1.7553350925445557,42,-1.0,1.0,1.0
63,1.0732221603393555,26,-1.0,1.0732221603393555,26,1.0,0.0,1.0
64,1.7558436393737793,42,-1.0,1.7558436393737793,42,1.0,1.0,1.0
65,1.089768409729004,26,1.0,1.089768409729004,26,-1.0,1.0,0.0
66,1.7894248962402344,43,1.0,1.7894248962402344,43,-1.0,1.0,1.0
67,1.0899059772491455,26,1.0,1.0899059772491455,26,-1.0,1.0,0.0
68,1.0758934020996094,26,-1.0,1.0748937129974365,26,1.0,0.0,1.0
69,1.0900907516479492,26,-1.0,1.0910518169403076,26,1.0,0.0,1.0
70,2.7773680686950684,67,1.0,2.7773680686950684,67,-1.0,1.0,1.0
71,1.091310739517212,26,1.0,1.091310739517212,26,-1.0,1.0,0.0
72,1.7523908615112305,42,1.0,1.7523908615112305,42,-1.0,1.0,1.0
73,1.0881714820861816,26,-1.0,1.0881714820861816,26,1.0,0.0,1.0
74,2.9441113471984863,71,1.0,2.9441113471984863,71,-1.0,1.0,0.0
75,1.7554271221160889,42,1.0,1.7554271221160889,42,-1.0,1.0,1.0
76,1.0721232891082764,26,1.0,1.0721232891082764,26,-1.0,1.0,0.0
77,1.0873682498931885,26,-1.0,1.0873682498931885,26,1.0,0.0,1.0
78,1.0888397693634033,26,-1.0,1.0888397693634033,26,1.0,0.0,1.0
79,1.7506558895111084,42,1.0,1.7506558895111084,42,-1.0,1.0,1.0
80,1.0928044319152832,26,-1.0,1.0938136577606201,26,1.0,0.0,1.0
81,1.0907602310180664,26,-1.0,1.0907602310180664,26,1.0,0.0,1.0
82,1.0874133110046387,26,1.0,1.0874133110046387,26,-1.0,1.0,0.0
83,1.7545952796936035,42,1.0,1.7545952796936035,42,-1.0,1.0,1.0
84,1.0739023685455322,26,-1.0,1.0739023685455322,26,1.0,0.0,1.0
85,1.752615213394165,42,1.0,1.752615213394165,42,-1.0,1.0,1.0
86,1.089432716369629,26,1.0,1.089432716369629,26,-1.0,1.0,0.0
87,1.75118088722229,42,1.0,1.75118088722229,42,-1.0,1.0,1.0
88,1.0730736255645752,26,1.0,1.0730736255645752,26,-1.0,1.0,0.0
89,1.0917863845825195,26,1.0,1.0917863845825195,26,-1.0,1.0,0.0
90,1.0753116607666016,26,1.0,1.0753116607666016,26,-1.0,1.0,0.0
91,2.946014881134033,71,1.0,2.946014881134033,71,-1.0,1.0,0.0
92,2.4504501819610596,59,-1.0,2.4504501819610596,59,1.0,1.0,2.0
93,1.7573869228363037,42,1.0,1.7573869228363037,42,-1.0,1.0,1.0
94,1.0745975971221924,26,1.0,1.0745975971221924,26,-1.0,1.0,0.0
95,1.0888419151306152,26,1.0,1.0888419151306152,26,-1.0,1.0,0.0
96,1.0734193325042725,26,-1.0,1.0734193325042725,26,1.0,0.0,1.0
97,1.0895633697509766,26,-1.0,1.0895633697509766,26,1.0,0.0,1.0
98,1.8030643463134766,43,1.0,1.8030643463134766,43,-1.0,1.0,1.0
99,1.0732769966125488,26,1.0,1.0732769966125488,26,-1.0,1.0,0.0
