episode,time,actions,reward,bounces_1,bounces_2
0,0.40973901748657227,10,-1.0,0.0,0.0
1,0.42525792121887207,10,-1.0,0.0,0.0
2,1.9919207096099854,48,-1.0,1.0,1.0
3,1.0882391929626465,26,-1.0,0.0,1.0
4,0.40795397758483887,10,1.0,0.0,0.0
5,1.0914387702941895,26,-1.0,0.0,1.0
6,1.0878627300262451,26,-1.0,0.0,1.0
7,0.42624759674072266,10,-1.0,0.0,0.0
8,0.4078400135040283,10,-1.0,0.0,0.0
9,0.42519211769104004,10,-1.0,0.0,0.0
10,1.0749011039733887,26,-1.0,0.0,1.0
11,0.42508530616760254,10,-1.0,0.0,0.0
12,0.4087212085723877,10,1.0,0.0,0.0
13,1.0876944065093994,26,-1.0,0.0,1.0
14,0.42497968673706055,10,-1.0,1.0,0.0
15,1.0938880443572998,26,-1.0,0.0,1.0
16,0.4086618423461914,10,-1.0,0.0,0.0
17,2.4494640827178955,59,-1.0,1.0,2.0
18,0.42453575134277344,10,-1.0,0.0,0.0
19,0.4104011058807373,10,-1.0,0.0,0.0
20,1.090630292892456,26,-1.0,0.0,1.0
21,1.076070785522461,26,-1.0,0.0,1.0
22,1.0855712890625,26,-1.0,0.0,1.0
23,1.8035001754760742,43,1.0,1.0,1.0
24,1.0712003707885742,26,-1.0,0.0,1.0
25,0.42620420455932617,10,-1.0,0.0,0.0
26,0.40865015983581543,10,-1.0,0.0,0.0
27,0.43124866485595703,10,-1.0,0.0,0.0
28,1.0885710716247559,26,1.0,1.0,0.0
29,0.4246041774749756,10,-1.0,0.0,0.0
30,2.9602644443511963,71,1.0,1.0,0.0
31,1.0869650840759277,26,-1.0,0.0,1.0
32,1.0733864307403564,26,-1.0,0.0,1.0
33,1.089761734008789,26,-1.0,0.0,1.0
34,0.40731191635131836,10,-1.0,0.0,0.0
35,0.42498183250427246,10,-1.0,0.0,0.0
36,0.4074709415435791,10,-1.0,0.0,0.0
37,0.42609190940856934,10,-1.0,0.0,0.0
38,1.0897650718688965,26,-1.0,0.0,1.0
39,0.4586789608001709,11,-1.0,1.0,0.0
40,1.0906414985656738,26,-1.0,0.0,1.0
41,0.40985846519470215,10,-1.0,0.0,0.0
42,0.42931365966796875,10,-1.0,0.0,0.0
43,0.42491888999938965,10,-1.0,0.0,0.0
44,0.40853095054626465,10,-1.0,0.0,0.0
45,1.0891296863555908,26,-1.0,0.0,1.0
46,2.463179349899292,59,-1.0,1.0,2.0
47,0.41312694549560547,10,-1.0,0.0,0.0
48,0.42813777923583984,10,-1.0,0.0,0.0
49,0.4081575870513916,10,-1.0,0.0,0.0
50,0.42441797256469727,10,-1.0,0.0,0.0
51,0.40896058082580566,10,-1.0,0.0,0.0
52,1.0882112979888916,26,-1.0,0.0,1.0
53,0.41056227684020996,10,-1.0,0.0,0.0
54,1.088080644607544,26,-1.0,0.0,1.0
55,2.957744836807251,71,1.0,1.0,0.0
56,1.0907728672027588,26,-1.0,0.0,1.0
57,0.40947937965393066,10,-1.0,0.0,0.0
58,1.0889670848846436,26,-1.0,0.0,1.0
59,2.941514015197754,71,1.0,1.0,0.0
60,0.4235095977783203,10,-1.0,0.0,0.0
61,1.0749728679656982,26,-1.0,0.0,1.0
62,1.0901954174041748,26,-1.0,0.0,1.0
63,1.7907779216766357,43,1.0,1.0,1.0
64,0.425154447555542,10,-1.0,0.0,0.0
65,2.942507028579712,71,1.0,1.0,0.0
66,0.4263646602630615,10,-1.0,0.0,0.0
67,1.0732662677764893,26,-1.0,0.0,1.0
68,2.9583334922790527,71,1.0,1.0,0.0
69,0.4082052707672119,10,-1.0,0.0,0.0
70,1.089282512664795,26,-1.0,0.0,1.0
71,0.4079782962799072,10,-1.0,0.0,0.0
72,0.425642728805542,10,-1.0,0.0,0.0
73,0.4088134765625,10,-1.0,0.0,0.0
74,0.42507195472717285,10,-1.0,0.0,0.0
75,1.0712227821350098,26,-1.0,0.0,1.0
76,0.42380690574645996,10,-1.0,0.0,0.0
77,1.078672170639038,26,-1.0,0.0,1.0
78,1.0893645286560059,26,-1.0,0.0,1.0
79,1.072512149810791,26,-1.0,0.0,1.0
80,0.4259319305419922,10,-1.0,0.0,0.0
81,1.0702495574951172,26,-1.0,0.0,1.0
82,0.42426395416259766,10,-1.0,0.0,0.0
83,0.4081733226776123,10,-1.0,0.0,0.0
84,0.42414426803588867,10,-1.0,0.0,0.0
85,4.115225076675415,99,-1.0,1.0,2.0
86,1.0730619430541992,26,-1.0,0.0,1.0
87,0.42569971084594727,10,-1.0,0.0,0.0
88,1.070563793182373,26,-1.0,0.0,1.0
89,1.0886621475219727,26,1.0,1.0,0.0
90,1.0917484760284424,26,-1.0,0.0,1.0
91,1.7862284183502197,43,-1.0,1.0,1.0
92,1.0889594554901123,26,-1.0,0.0,1.0
93,0.408038854598999,10,-1.0,0.0,0.0
94,1.2234718799591064,29,1.0,1.0,1.0
95,1.0867056846618652,26,-1.0,0.0,1.0
96,0.4120352268218994,10,-1.0,0.0,0.0
97,2.9639976024627686,71,1.0,1.0,0.0
98,1.0891668796539307,26,-1.0,0.0,1.0
99,0.4092116355895996,10,-1.0,0.0,0.0
100,1.8050658702850342,43,1.0,1.0,1.0
101,1.0890834331512451,26,-1.0,0.0,1.0
102,1.0890300273895264,26,-1.0,0.0,1.0
103,0.4251832962036133,10,-1.0,0.0,0.0
104,0.4244048595428467,10,-1.0,0.0,0.0
105,1.8034663200378418,43,1.0,1.0,1.0
106,1.0707066059112549,26,-1.0,0.0,1.0
107,1.0886974334716797,26,-1.0,0.0,1.0
108,2.9587717056274414,71,1.0,1.0,0.0
109,0.42340087890625,10,-1.0,0.0,0.0
110,1.0891685485839844,26,-1.0,0.0,1.0
111,2.467869997024536,59,-1.0,1.0,2.0
112,1.0869834423065186,26,-1.0,0.0,1.0
113,1.0861365795135498,26,-1.0,0.0,1.0
114,1.0874311923980713,26,-1.0,0.0,1.0
115,1.0749459266662598,26,-1.0,0.0,1.0
116,1.0910251140594482,26,-1.0,0.0,1.0
117,0.4093618392944336,10,-1.0,0.0,0.0
118,1.0864641666412354,26,-1.0,0.0,1.0
119,2.9657483100891113,71,1.0,1.0,0.0
120,0.3563499450683594,9,-1.0,0.0,0.0
121,0.42459750175476074,10,-1.0,0.0,0.0
122,0.4096031188964844,10,-1.0,0.0,0.0
123,1.0901281833648682,26,-1.0,0.0,1.0
124,0.411348819732666,10,-1.0,0.0,0.0
125,1.0875437259674072,26,-1.0,0.0,1.0
126,1.0750718116760254,26,-1.0,0.0,1.0
127,0.4256248474121094,10,-1.0,0.0,0.0
128,0.40742039680480957,10,-1.0,0.0,0.0
129,0.4252970218658447,10,-1.0,0.0,0.0
130,1.0706212520599365,26,-1.0,0.0,1.0
131,0.4247012138366699,10,-1.0,0.0,0.0
132,1.071629524230957,26,-1.0,0.0,1.0
133,1.0872409343719482,26,-1.0,0.0,1.0
134,1.0891239643096924,26,-1.0,0.0,1.0
135,0.41068196296691895,10,-1.0,0.0,0.0
136,2.9768435955047607,71,1.0,1.0,0.0
137,0.4601268768310547,11,-1.0,1.0,0.0
138,2.9579765796661377,71,1.0,1.0,0.0
139,2.467564105987549,59,-1.0,1.0,2.0
140,1.0897812843322754,26,-1.0,0.0,1.0
141,1.0731596946716309,26,-1.0,0.0,1.0
142,0.4252493381500244,10,-1.0,0.0,0.0
143,1.0891220569610596,26,-1.0,0.0,1.0
144,0.4248034954071045,10,-1.0,0.0,0.0
145,1.0890607833862305,26,-1.0,1.0,1.0
146,1.0708637237548828,26,-1.0,0.0,1.0
147,1.0884671211242676,26,-1.0,0.0,1.0
148,1.0906569957733154,26,-1.0,0.0,1.0
149,0.4248383045196533,10,-1.0,0.0,0.0
150,2.4670095443725586,59,-1.0,1.0,2.0
151,1.0771410465240479,26,-1.0,0.0,1.0
152,2.4484870433807373,59,-1.0,1.0,2.0
153,2.449279308319092,59,-1.0,1.0,2.0
154,1.087813138961792,26,-1.0,0.0,1.0
155,1.0907385349273682,26,-1.0,0.0,1.0
156,0.4110391139984131,10,-1.0,0.0,0.0
157,0.424102783203125,10,-1.0,0.0,0.0
158,0.4102332592010498,10,-1.0,0.0,0.0
159,0.46312928199768066,11,-1.0,1.0,0.0
160,0.42503881454467773,10,-1.0,0.0,0.0
161,1.073383092880249,26,-1.0,0.0,1.0
162,0.4245028495788574,10,-1.0,0.0,0.0
163,1.0880374908447266,26,-1.0,0.0,1.0
164,0.40745997428894043,10,-1.0,0.0,0.0
165,0.42623305320739746,10,-1.0,0.0,0.0
166,0.40770936012268066,10,-1.0,0.0,0.0
167,1.0914843082427979,26,-1.0,0.0,1.0
168,1.0721418857574463,26,-1.0,0.0,1.0
169,2.451052188873291,59,-1.0,1.0,2.0
170,0.40874743461608887,10,-1.0,0.0,0.0
171,0.42504429817199707,10,-1.0,0.0,0.0
172,0.40964460372924805,10,-1.0,0.0,0.0
173,0.42392921447753906,10,-1.0,0.0,0.0
174,4.439456224441528,107,-1.0,2.0,3.0
175,0.4254884719848633,10,-1.0,0.0,0.0
176,0.40873193740844727,10,-1.0,0.0,0.0
177,0.42442965507507324,10,-1.0,0.0,0.0
178,0.40782666206359863,10,-1.0,0.0,0.0
179,0.42512083053588867,10,-1.0,0.0,0.0
180,1.0725834369659424,26,-1.0,0.0,1.0
181,2.0102035999298096,48,-1.0,1.0,1.0
182,1.088810682296753,26,-1.0,0.0,1.0
183,2.0070791244506836,48,-1.0,1.0,1.0
184,4.13585352897644,99,-1.0,1.0,2.0
185,1.0730750560760498,26,-1.0,0.0,1.0
186,1.078831434249878,26,-1.0,0.0,1.0
187,2.0594167709350586,49,-1.0,1.0,1.0
188,0.4102921485900879,10,-1.0,0.0,0.0
189,2.010385274887085,48,-1.0,1.0,1.0
190,1.0753288269042969,26,-1.0,0.0,1.0
191,1.1565744876861572,28,1.0,1.0,1.0
192,0.42423510551452637,10,-1.0,0.0,0.0
193,1.0886218547821045,26,-1.0,0.0,1.0
194,2.4511284828186035,59,-1.0,1.0,2.0
195,2.0604517459869385,49,-1.0,1.0,1.0
196,1.0708625316619873,26,-1.0,0.0,1.0
197,1.087890386581421,26,1.0,1.0,0.0
198,1.086512565612793,26,1.0,1.0,0.0
199,1.159062385559082,28,1.0,1.0,1.0
200,1.0887582302093506,26,-1.0,0.0,1.0
201,0.40801095962524414,10,-1.0,0.0,0.0
202,1.0887079238891602,26,1.0,1.0,0.0
203,1.089792013168335,26,-1.0,0.0,1.0
204,1.0880341529846191,26,-1.0,0.0,1.0
205,0.42488598823547363,10,-1.0,0.0,0.0
206,1.0720438957214355,26,-1.0,0.0,1.0
207,0.4243903160095215,10,-1.0,0.0,0.0
208,0.4078958034515381,10,1.0,0.0,0.0
209,0.4251902103424072,10,-1.0,0.0,0.0
210,4.131012916564941,99,-1.0,1.0,2.0
211,1.2091667652130127,29,1.0,1.0,1.0
212,1.801957130432129,43,1.0,1.0,1.0
213,1.089613914489746,26,-1.0,0.0,1.0
214,1.0705556869506836,26,-1.0,0.0,1.0
215,1.086329460144043,26,-1.0,0.0,1.0
