episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
0,0.40421271324157715,10,-1.0,0.40421271324157715,10,1.0,1.0,0.0
1,0.407914400100708,11,-1.0,0.407914400100708,11,1.0,0.0,0.0
2,0.3922858238220215,12,-1.0,0.3932797908782959,12,1.0,0.0,0.0
3,0.3925609588623047,12,1.0,0.3925609588623047,12,-1.0,0.0,0.0
4,0.40915870666503906,12,1.0,0.40915870666503906,12,-1.0,0.0,0.0
5,0.38961172103881836,12,-1.0,0.39051246643066406,12,1.0,0.0,0.0
6,0.41045260429382324,12,1.0,0.4113907814025879,12,-1.0,0.0,0.0
7,0.3902401924133301,12,-1.0,0.391207218170166,12,1.0,0.0,0.0
8,0.4094376564025879,12,1.0,0.4094376564025879,12,-1.0,0.0,0.0
9,0.39209461212158203,12,1.0,0.3929901123046875,12,-1.0,0.0,0.0
10,0.4087848663330078,12,-1.0,0.4097776412963867,12,1.0,0.0,0.0
11,0.39203691482543945,12,1.0,0.3930337429046631,12,-1.0,0.0,0.0
12,0.3955202102661133,12,1.0,0.3955202102661133,12,-1.0,0.0,0.0
13,1.1060764789581299,33,-1.0,1.1070303916931152,33,1.0,0.0,1.0
14,0.39109086990356445,12,-1.0,0.39109086990356445,12,1.0,0.0,0.0
15,1.1057019233703613,33,-1.0,1.1057019233703613,33,1.0,0.0,1.0
16,0.3931398391723633,12,1.0,0.3931398391723633,12,-1.0,0.0,0.0
17,0.40812182426452637,12,-1.0,0.40911388397216797,12,1.0,0.0,0.0
18,1.1076786518096924,33,-1.0,1.1076786518096924,33,1.0,0.0,1.0
19,0.4084136486053467,12,-1.0,0.4084136486053467,12,1.0,0.0,0.0
20,0.39235496520996094,12,1.0,0.39334940910339355,12,-1.0,0.0,0.0
21,0.407850980758667,12,1.0,0.4088447093963623,12,-1.0,0.0,0.0
22,0.39086413383483887,12,-1.0,0.3918583393096924,12,1.0,0.0,0.0
23,1.7712678909301758,53,1.0,1.7711715698242188,53,-1.0,1.0,1.0
24,0.3913764953613281,12,-1.0,0.3913764953613281,12,1.0,0.0,0.0
25,0.4086496829986572,12,1.0,0.4086496829986572,12,-1.0,0.0,0.0
26,0.39119625091552734,12,1.0,0.39119625091552734,12,-1.0,0.0,0.0
27,0.40856385231018066,12,-1.0,0.409557580947876,12,1.0,0.0,0.0
28,0.4252932071685791,13,-1.0,0.4252932071685791,13,1.0,1.0,0.0
29,0.41089820861816406,12,-1.0,0.41089820861816406,12,1.0,0.0,0.0
30,0.39044976234436035,12,1.0,0.3914494514465332,12,-1.0,0.0,0.0
31,0.408785343170166,12,1.0,0.40977954864501953,12,-1.0,0.0,0.0
32,0.4068608283996582,12,-1.0,0.4068608283996582,12,1.0,0.0,0.0
33,0.39064812660217285,12,-1.0,0.3896818161010742,12,1.0,0.0,0.0
34,0.4081075191497803,12,1.0,0.4081075191497803,12,-1.0,0.0,0.0
35,0.4264495372772217,13,1.0,0.4264495372772217,13,-1.0,0.0,1.0
36,0.409740686416626,12,1.0,0.4107394218444824,12,-1.0,0.0,0.0
37,0.391495943069458,12,1.0,0.392488956451416,12,-1.0,0.0,0.0
38,0.408475399017334,12,1.0,0.408475399017334,12,-1.0,0.0,0.0
39,0.38969993591308594,12,-1.0,0.38969993591308594,12,1.0,0.0,0.0
40,0.4082205295562744,12,1.0,0.4082205295562744,12,-1.0,0.0,0.0
41,0.4121224880218506,12,1.0,0.4121224880218506,12,-1.0,0.0,0.0
42,0.39374804496765137,12,1.0,0.39374804496765137,12,-1.0,0.0,0.0
43,0.4102296829223633,12,1.0,0.41126155853271484,12,-1.0,0.0,0.0
44,0.4099893569946289,12,1.0,0.4109821319580078,12,-1.0,0.0,0.0
45,5.3619349002838135,161,-1.0,5.3619349002838135,161,1.0,1.0,1.0
