episode,time,actions,reward,bounces_1,bounces_2
0,0.4142897129058838,10,-1.0,0.0,0.0
1,0.4245474338531494,10,-1.0,0.0,0.0
2,1.0892739295959473,26,-1.0,0.0,1.0
3,0.4247472286224365,10,-1.0,0.0,0.0
4,1.8231725692749023,44,-1.0,1.0,2.0
5,0.4261765480041504,10,-1.0,0.0,0.0
6,1.0709853172302246,26,-1.0,0.0,1.0
7,0.4249458312988281,10,-1.0,0.0,0.0
8,0.40861010551452637,10,-1.0,1.0,0.0
9,0.42441558837890625,10,-1.0,0.0,0.0
10,0.4084622859954834,10,-1.0,0.0,0.0
11,0.40843749046325684,10,-1.0,0.0,0.0
12,1.0912699699401855,26,-1.0,0.0,1.0
13,0.40613508224487305,10,-1.0,0.0,0.0
14,0.4239208698272705,10,-1.0,0.0,0.0
15,0.4085044860839844,10,-1.0,0.0,0.0
16,0.4248013496398926,10,-1.0,0.0,0.0
17,1.0888397693634033,26,-1.0,0.0,1.0
18,1.091348648071289,26,-1.0,0.0,1.0
19,0.4253499507904053,10,-1.0,0.0,0.0
20,0.427074670791626,10,-1.0,0.0,0.0
21,0.40874719619750977,10,-1.0,0.0,0.0
22,0.4248535633087158,10,-1.0,0.0,0.0
23,0.40819621086120605,10,-1.0,0.0,0.0
24,0.4115431308746338,10,-1.0,0.0,0.0
25,0.42474937438964844,10,-1.0,0.0,0.0
26,0.4075016975402832,10,-1.0,0.0,0.0
27,1.088041067123413,26,-1.0,0.0,1.0
28,1.0879461765289307,26,-1.0,0.0,1.0
29,1.079864740371704,26,-1.0,0.0,1.0
30,1.0861659049987793,26,-1.0,0.0,1.0
31,1.0709877014160156,26,-1.0,0.0,1.0
32,2.453238010406494,59,-1.0,1.0,2.0
33,1.073394775390625,26,-1.0,0.0,1.0
34,1.0891880989074707,26,-1.0,0.0,1.0
35,0.4125816822052002,10,-1.0,0.0,0.0
36,0.4282362461090088,10,-1.0,0.0,0.0
37,1.0802130699157715,26,-1.0,0.0,1.0
38,0.4072227478027344,10,-1.0,0.0,0.0
39,1.0913004875183105,26,-1.0,0.0,1.0
40,1.0869579315185547,26,-1.0,0.0,1.0
41,0.409055233001709,10,-1.0,0.0,0.0
42,0.4249398708343506,10,-1.0,0.0,0.0
43,1.0877690315246582,26,-1.0,0.0,1.0
44,1.0871303081512451,26,-1.0,0.0,1.0
45,0.4073514938354492,10,-1.0,0.0,0.0
46,1.098092794418335,26,-1.0,0.0,1.0
47,0.4316575527191162,10,-1.0,0.0,0.0
48,1.074303150177002,26,-1.0,0.0,1.0
49,0.42463088035583496,10,-1.0,1.0,0.0
50,0.40999388694763184,10,-1.0,0.0,0.0
51,1.0886688232421875,26,-1.0,0.0,1.0
52,1.0723521709442139,26,-1.0,0.0,1.0
53,1.0882151126861572,26,-1.0,0.0,1.0
54,0.42571020126342773,10,-1.0,0.0,0.0
55,0.4257020950317383,10,-1.0,0.0,0.0
56,0.4070768356323242,10,-1.0,0.0,0.0
57,1.087489128112793,26,1.0,1.0,0.0
58,1.091648817062378,26,-1.0,0.0,1.0
59,1.0875096321105957,26,1.0,1.0,0.0
60,1.089599609375,26,-1.0,0.0,1.0
61,1.7536406517028809,42,1.0,1.0,1.0
62,2.0442380905151367,49,-1.0,1.0,1.0
63,2.9599804878234863,71,1.0,1.0,0.0
64,1.0950372219085693,26,-1.0,0.0,1.0
65,0.40786027908325195,10,-1.0,0.0,0.0
66,1.091944932937622,26,-1.0,0.0,1.0
67,0.40718841552734375,10,-1.0,0.0,0.0
68,1.0881710052490234,26,-1.0,0.0,1.0
69,1.0720458030700684,26,-1.0,0.0,1.0
70,2.974155902862549,71,1.0,1.0,0.0
71,1.0860693454742432,26,-1.0,0.0,1.0
72,0.407909631729126,10,1.0,0.0,0.0
73,1.0878949165344238,26,-1.0,0.0,1.0
74,0.4244251251220703,10,-1.0,0.0,0.0
75,0.3739657402038574,9,-1.0,0.0,0.0
76,1.0879580974578857,26,-1.0,0.0,1.0
77,0.40702104568481445,10,-1.0,0.0,0.0
78,1.0874829292297363,26,-1.0,0.0,1.0
79,1.087327241897583,26,-1.0,0.0,1.0
80,1.0714128017425537,26,-1.0,0.0,1.0
81,1.0895016193389893,26,-1.0,0.0,1.0
82,0.41080141067504883,10,-1.0,0.0,0.0
83,1.0885803699493408,26,-1.0,0.0,1.0
84,1.0866138935089111,26,1.0,1.0,0.0
85,1.0861382484436035,26,-1.0,0.0,1.0
86,1.0917723178863525,26,-1.0,0.0,1.0
87,1.0858652591705322,26,-1.0,0.0,1.0
88,1.1003646850585938,26,-1.0,0.0,1.0
89,1.7534546852111816,42,-1.0,1.0,1.0
90,0.42517685890197754,10,-1.0,0.0,0.0
91,1.088895320892334,26,-1.0,0.0,1.0
92,1.1020233631134033,26,-1.0,0.0,1.0
93,1.0700857639312744,26,-1.0,0.0,1.0
94,0.4255552291870117,10,-1.0,0.0,0.0
95,0.40704917907714844,10,1.0,0.0,0.0
96,0.42473602294921875,10,-1.0,0.0,0.0
97,0.4072742462158203,10,1.0,0.0,0.0
98,1.086965799331665,26,-1.0,0.0,1.0
99,1.0896296501159668,26,-1.0,0.0,1.0
100,1.7872340679168701,43,1.0,1.0,1.0
101,0.42391228675842285,10,-1.0,0.0,0.0
102,1.07442307472229,26,1.0,1.0,0.0
103,3.0626046657562256,73,-1.0,2.0,2.0
104,1.0703978538513184,26,-1.0,0.0,1.0
105,1.0881047248840332,26,-1.0,0.0,1.0
106,0.40775632858276367,10,-1.0,0.0,0.0
107,0.425447940826416,10,-1.0,0.0,0.0
108,2.968764066696167,71,1.0,1.0,0.0
109,3.205693483352661,77,-1.0,2.0,3.0
