episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
30,2.625598669052124,42,1.0,2.625598669052124,42,-1.0,1.0,1.0
31,1.6187291145324707,26,-1.0,1.6187291145324707,26,1.0,0.0,1.0
32,4.176477432250977,67,1.0,4.176477432250977,67,-1.0,1.0,1.0
33,2.6273818016052246,42,1.0,2.6273818016052246,42,-1.0,1.0,1.0
34,1.6193249225616455,26,1.0,1.6193249225616455,26,-1.0,1.0,0.0
35,4.4315948486328125,71,1.0,4.4315948486328125,71,-1.0,1.0,0.0
36,5.252371072769165,84,1.0,5.252371072769165,84,-1.0,2.0,1.0
37,1.6349053382873535,26,1.0,1.6349053382873535,26,-1.0,1.0,0.0
38,1.6178770065307617,26,1.0,1.6178770065307617,26,-1.0,1.0,0.0
39,1.6384642124176025,26,-1.0,1.6384642124176025,26,1.0,0.0,1.0
40,2.623621702194214,42,1.0,2.623621702194214,42,-1.0,1.0,1.0
41,1.6183140277862549,26,-1.0,1.6183140277862549,26,1.0,0.0,1.0
42,4.426429271697998,71,1.0,4.426429271697998,71,-1.0,1.0,0.0
43,2.6242287158966064,42,1.0,2.6242287158966064,42,-1.0,1.0,1.0
44,1.6182692050933838,26,-1.0,1.6182692050933838,26,1.0,0.0,1.0
45,8.000636339187622,128,-1.0,8.000636339187622,128,1.0,1.0,1.0
46,1.6206164360046387,26,-1.0,1.6206164360046387,26,1.0,0.0,1.0
47,8.0094633102417,128,-1.0,8.0094633102417,128,1.0,1.0,1.0
48,1.6175148487091064,26,1.0,1.6175148487091064,26,-1.0,1.0,0.0
49,1.6180970668792725,26,-1.0,1.6180970668792725,26,1.0,0.0,1.0
50,1.6193935871124268,26,-1.0,1.6193935871124268,26,1.0,0.0,1.0
51,2.628092050552368,42,1.0,2.628092050552368,42,-1.0,1.0,1.0
52,1.6348426342010498,26,1.0,1.6348426342010498,26,-1.0,1.0,0.0
53,8.499178409576416,136,1.0,8.499178409576416,136,-1.0,2.0,1.0
54,1.6165058612823486,26,1.0,1.6165058612823486,26,-1.0,1.0,0.0
55,1.6247615814208984,26,-1.0,1.6247615814208984,26,1.0,0.0,1.0
56,2.695425510406494,43,-1.0,2.695425510406494,43,1.0,1.0,1.0
57,1.6183116436004639,26,-1.0,1.6183116436004639,26,1.0,0.0,1.0
58,2.623793125152588,42,1.0,2.623793125152588,42,-1.0,1.0,1.0
59,1.6200168132781982,26,-1.0,1.6200168132781982,26,1.0,0.0,1.0
60,4.428879022598267,71,1.0,4.428879022598267,71,-1.0,1.0,0.0
61,1.6180455684661865,26,1.0,1.6180455684661865,26,-1.0,1.0,0.0
62,1.6185636520385742,26,-1.0,1.6185636520385742,26,1.0,0.0,1.0
63,1.6198482513427734,26,1.0,1.6198482513427734,26,-1.0,1.0,0.0
64,1.6179616451263428,26,1.0,1.6179616451263428,26,-1.0,1.0,0.0
65,4.415239572525024,71,1.0,4.415239572525024,71,-1.0,1.0,0.0
66,2.6269052028656006,42,1.0,2.6269052028656006,42,-1.0,1.0,1.0
67,1.6181881427764893,26,-1.0,1.6181881427764893,26,1.0,0.0,1.0
68,2.6396918296813965,42,1.0,2.6396918296813965,42,-1.0,1.0,1.0
