episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
103,1.765915870666504,53,1.0,1.765915870666504,53,-1.0,1.0,1.0
104,1.7700088024139404,53,1.0,1.7700088024139404,53,-1.0,1.0,1.0
105,0.3911912441253662,12,-1.0,0.3911912441253662,12,1.0,0.0,0.0
106,1.7655699253082275,53,1.0,1.7655699253082275,53,-1.0,1.0,1.0
107,1.1052525043487549,33,1.0,1.1052525043487549,33,-1.0,1.0,0.0
108,1.1050195693969727,33,1.0,1.1050195693969727,33,-1.0,1.0,0.0
109,0.3916475772857666,12,1.0,0.3916475772857666,12,-1.0,0.0,0.0
110,1.1078271865844727,33,1.0,1.1078271865844727,33,-1.0,1.0,0.0
111,1.7572312355041504,53,1.0,1.7572312355041504,53,-1.0,1.0,1.0
112,1.104729413986206,33,1.0,1.104729413986206,33,-1.0,1.0,0.0
113,1.7709455490112305,53,1.0,1.7709455490112305,53,-1.0,1.0,1.0
114,1.0890331268310547,33,1.0,1.0890331268310547,33,-1.0,1.0,0.0
115,0.41083788871765137,12,-1.0,0.41083788871765137,12,1.0,0.0,0.0
116,2.805678129196167,84,-1.0,2.805678129196167,84,1.0,1.0,1.0
117,1.1056554317474365,33,1.0,1.1056554317474365,33,-1.0,1.0,0.0
118,1.7661385536193848,53,-1.0,1.7661385536193848,53,1.0,1.0,1.0
119,1.7683124542236328,53,1.0,1.7683124542236328,53,-1.0,1.0,1.0
120,0.3913917541503906,12,-1.0,0.3913917541503906,12,1.0,0.0,0.0
121,1.1035494804382324,33,1.0,1.1035494804382324,33,-1.0,1.0,0.0
122,1.1057538986206055,33,1.0,1.1057538986206055,33,-1.0,1.0,0.0
123,1.0879309177398682,33,1.0,1.0879309177398682,33,-1.0,1.0,0.0
124,1.1099536418914795,33,1.0,1.1099536418914795,33,-1.0,1.0,0.0
125,1.0882909297943115,33,-1.0,1.0882909297943115,33,1.0,0.0,1.0
126,1.1055307388305664,33,1.0,1.1055307388305664,33,-1.0,1.0,0.0
127,1.1054019927978516,33,1.0,1.1054019927978516,33,-1.0,1.0,0.0
128,0.40787839889526367,12,-1.0,0.40787839889526367,12,1.0,0.0,0.0
129,0.408646821975708,12,-1.0,0.408646821975708,12,1.0,0.0,0.0
130,1.0914154052734375,33,-1.0,1.0914154052734375,33,1.0,0.0,1.0
131,1.104274034500122,33,1.0,1.104274034500122,33,-1.0,1.0,0.0
132,1.7674241065979004,53,1.0,1.7674241065979004,53,-1.0,1.0,1.0
133,1.7509407997131348,53,1.0,1.7509407997131348,53,-1.0,1.0,1.0
