episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
0,0.38328981399536133,12,1.0,0.3842635154724121,12,-1.0,0.0,0.0
1,0.4074215888977051,12,-1.0,0.4074215888977051,12,1.0,0.0,0.0
2,0.3911111354827881,12,1.0,0.39200425148010254,12,-1.0,0.0,0.0
3,0.40642690658569336,12,1.0,0.40642690658569336,12,-1.0,0.0,0.0
4,0.39232301712036133,12,1.0,0.39331579208374023,12,-1.0,0.0,0.0
5,0.4076414108276367,12,-1.0,0.4076414108276367,12,1.0,0.0,0.0
6,0.39148616790771484,12,-1.0,0.39148616790771484,12,1.0,0.0,0.0
7,0.4078047275543213,12,-1.0,0.408801794052124,12,1.0,0.0,0.0
8,0.39132118225097656,12,1.0,0.3922915458679199,12,-1.0,0.0,0.0
9,0.4080045223236084,12,1.0,0.40900158882141113,12,-1.0,0.0,0.0
10,0.3916802406311035,12,-1.0,0.39267420768737793,12,1.0,0.0,0.0
11,0.3916819095611572,12,-1.0,0.39267563819885254,12,1.0,0.0,0.0
12,0.4080533981323242,12,1.0,0.40905046463012695,12,-1.0,0.0,0.0
13,0.39127469062805176,12,1.0,0.39127469062805176,12,-1.0,0.0,0.0
14,0.407759428024292,12,1.0,0.407759428024292,12,-1.0,0.0,0.0
15,0.39151787757873535,12,-1.0,0.39151787757873535,12,1.0,0.0,0.0
16,0.4089829921722412,12,-1.0,0.40998005867004395,12,1.0,0.0,0.0
17,0.3913600444793701,12,-1.0,0.3913600444793701,12,1.0,0.0,0.0
18,0.4078042507171631,12,-1.0,0.4087989330291748,12,1.0,0.0,0.0
19,0.39100098609924316,12,-1.0,0.391998291015625,12,1.0,0.0,0.0
20,0.4091978073120117,12,1.0,0.41019153594970703,12,-1.0,0.0,0.0
21,1.092163324356079,33,1.0,1.093146562576294,33,-1.0,1.0,0.0
22,0.409121036529541,12,1.0,0.4101138114929199,12,-1.0,0.0,0.0
23,1.0942018032073975,33,1.0,1.0942018032073975,33,-1.0,1.0,0.0
24,0.39257192611694336,12,1.0,0.39257192611694336,12,-1.0,0.0,0.0
25,0.40783190727233887,12,-1.0,0.4088308811187744,12,1.0,0.0,0.0
26,0.39008545875549316,12,-1.0,0.39008545875549316,12,1.0,0.0,0.0
27,0.41063451766967773,12,1.0,0.41163206100463867,12,-1.0,0.0,0.0
28,0.3911564350128174,12,-1.0,0.3921499252319336,12,1.0,0.0,0.0
29,0.408078670501709,12,1.0,0.4089806079864502,12,-1.0,0.0,0.0
30,0.39110469818115234,12,1.0,0.39209675788879395,12,-1.0,0.0,0.0
31,0.4090690612792969,12,1.0,0.4100630283355713,12,-1.0,0.0,0.0
32,0.39145827293395996,12,1.0,0.39145827293395996,12,-1.0,0.0,0.0
33,0.4093618392944336,12,1.0,0.4103543758392334,12,-1.0,0.0,0.0
34,0.39434242248535156,12,1.0,0.3953368663787842,12,-1.0,0.0,0.0
35,0.41002321243286133,12,-1.0,0.41091418266296387,12,1.0,0.0,0.0
36,0.40889453887939453,12,1.0,0.40889453887939453,12,-1.0,0.0,0.0
37,0.39049243927001953,12,-1.0,0.39049243927001953,12,1.0,0.0,0.0
38,1.1065778732299805,33,-1.0,1.1065778732299805,33,1.0,0.0,1.0
39,0.3914330005645752,12,-1.0,0.39243054389953613,12,1.0,0.0,0.0
40,0.40991759300231934,12,-1.0,0.40991759300231934,12,1.0,0.0,0.0
41,0.3908858299255371,12,-1.0,0.3908858299255371,12,1.0,0.0,0.0
42,0.4097270965576172,12,1.0,0.41072511672973633,12,-1.0,0.0,0.0
43,0.39144134521484375,12,1.0,0.39144134521484375,12,-1.0,0.0,0.0
44,0.4075024127960205,12,-1.0,0.4075024127960205,12,1.0,0.0,0.0
45,0.40734410285949707,10,1.0,0.40734410285949707,10,-1.0,0.0,0.0
46,0.42516088485717773,10,-1.0,0.42615461349487305,10,1.0,1.0,0.0
47,0.407376766204834,10,1.0,0.408374547958374,10,-1.0,0.0,0.0
48,0.4091947078704834,10,-1.0,0.4101879596710205,10,1.0,0.0,0.0
49,0.42470312118530273,10,-1.0,0.42470312118530273,10,1.0,0.0,0.0
50,0.40862250328063965,10,1.0,0.40961647033691406,10,-1.0,0.0,0.0
51,0.42530250549316406,10,-1.0,0.4261929988861084,10,1.0,0.0,0.0
52,0.41677045822143555,10,-1.0,0.4177687168121338,10,1.0,0.0,0.0
53,0.4086751937866211,10,-1.0,0.40965771675109863,10,1.0,0.0,0.0
54,0.42612242698669434,10,-1.0,0.42612242698669434,10,1.0,0.0,0.0
